Team1,Team1Goals,Team2Goals,Team2,Winner,Losser
Bahrain,1,0,Jordan,Bahrain,Jordan
Iran,1,0,Iraq,Iran,Iraq
SouthKorea,2,0,SaudiArabia,SouthKorea,SaudiArabia
SouthAfrica,1,0,Zambia,SouthAfrica,Zambia
China,4,1,Oman,China,Oman
Cameroon,1,1,CongoDR,TIECameroonCongoDR,TIECameroonCongoDR
Australia,4,1,Kuwait,Australia,Kuwait
Senegal,1,0,Gabon,Senegal,Gabon
BurkinaFaso,5,1,Swaziland,BurkinaFaso,Swaziland
Cameroon,1,1,SouthAfrica,TIECameroonSouthAfrica,TIECameroonSouthAfrica
CapeVerde,3,2,Congo,CapeVerde,Congo
SouthKorea,1,0,Oman,SouthKorea,Oman
SaudiArabia,0,1,China,China,SaudiArabia
Uzbekistan,1,0,KoreaDPR,Uzbekistan,KoreaDPR
Iran,2,0,Bahrain,Iran,Bahrain
Nigeria,0,1,IvoryCoast,IvoryCoast,Nigeria
Tunisia,1,1,Algeria,TIETunisiaAlgeria,TIETunisiaAlgeria
UnitedArabEmirates,4,1,Qatar,UnitedArabEmirates,Qatar
Japan,4,0,Palestine,Japan,Palestine
Jordan,0,1,Iraq,Iraq,Jordan
Australia,4,0,Oman,Australia,Oman
Botswana,0,2,BurkinaFaso,BurkinaFaso,Botswana
Kuwait,0,1,SouthKorea,SouthKorea,Kuwait
Senegal,5,2,Guinea,Senegal,Guinea
China,2,1,Uzbekistan,China,Uzbekistan
KoreaDPR,1,4,SaudiArabia,SaudiArabia,KoreaDPR
Mali,0,3,SouthAfrica,SouthAfrica,Mali
Bahrain,1,2,UnitedArabEmirates,UnitedArabEmirates,Bahrain
Qatar,0,1,Iran,Iran,Qatar
Sweden,2,0,IvoryCoast,Sweden,IvoryCoast
Canada,1,2,Iceland,Iceland,Canada
Iraq,0,1,Japan,Japan,Iraq
Palestine,1,5,Jordan,Jordan,Palestine
Australia,0,1,SouthKorea,SouthKorea,Australia
BurkinaFaso,0,2,Gabon,Gabon,BurkinaFaso
EquatorialGuinea,1,1,Congo,TIEEquatorialGuineaCongo,TIEEquatorialGuineaCongo
Oman,1,0,Kuwait,Oman,Kuwait
Yemen,0,2,Nigeria,Nigeria,Yemen
China,2,1,KoreaDPR,China,KoreaDPR
Tunisia,1,1,CapeVerde,TIETunisiaCapeVerde,TIETunisiaCapeVerde
Uzbekistan,3,1,SaudiArabia,Uzbekistan,SaudiArabia
Zambia,1,1,CongoDR,TIEZambiaCongoDR,TIEZambiaCongoDR
Algeria,3,1,SouthAfrica,Algeria,SouthAfrica
Canada,1,1,Iceland,TIECanadaIceland,TIECanadaIceland
Finland,1,0,Sweden,Finland,Sweden
Ghana,1,2,Senegal,Senegal,Ghana
Iran,1,0,UnitedArabEmirates,Iran,UnitedArabEmirates
Qatar,1,2,Bahrain,Bahrain,Qatar
Iraq,2,0,Palestine,Iraq,Palestine
IvoryCoast,1,1,Guinea,TIEIvoryCoastGuinea,TIEIvoryCoastGuinea
Japan,2,0,Jordan,Japan,Jordan
Mali,1,1,Cameroon,TIEMaliCameroon,TIEMaliCameroon
EquatorialGuinea,0,0,BurkinaFaso,TIEEquatorialGuineaBurkinaFaso,TIEEquatorialGuineaBurkinaFaso
Gabon,0,1,Congo,Congo,Gabon
Australia,2,0,China,Australia,China
CapeVerde,0,0,CongoDR,TIECapeVerdeCongoDR,TIECapeVerdeCongoDR
SouthKorea,2,0,Uzbekistan,SouthKorea,Uzbekistan
Yemen,0,0,Finland,TIEYemenFinland,TIEYemenFinland
Zambia,1,2,Tunisia,Tunisia,Zambia
Ghana,1,0,Algeria,Ghana,Algeria
